kernel,N,bx,by,bz,total_threads,exec_time,gpu,dimensionality,compute_intensity,has_shared_memory,global_reads,global_writes,arithmetic_ops,memory_ops
Convolution2D_kernel,128,16,8,1,128,0.0104,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,32,4,1,128,0.0106,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,64,2,1,128,0.0111,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,128,1,1,128,0.0108,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,2,128,1,256,0.0126,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,4,64,1,256,0.0112,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,8,32,1,256,0.0114,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,16,16,1,256,0.0105,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,32,8,1,256,0.0104,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,64,4,1,256,0.0103,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,128,2,1,256,0.0108,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,4,128,1,512,0.0116,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,8,64,1,512,0.0114,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,16,32,1,512,0.0109,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,32,16,1,512,0.0107,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,64,8,1,512,0.0108,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,128,4,1,512,0.0114,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,8,128,1,1024,0.0108,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,16,64,1,1024,0.0138,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,32,32,1,1024,0.0109,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,64,16,1,1024,0.0101,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,128,128,8,1,1024,0.0112,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,1,32,1,32,0.0276,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,2,16,1,32,0.0179,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,4,8,1,32,0.0119,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,8,4,1,32,0.0125,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,16,2,1,32,0.01,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,32,1,1,32,0.0102,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,1,64,1,64,0.0262,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,2,32,1,64,0.0183,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,4,16,1,64,0.0129,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,8,8,1,64,0.0123,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,16,4,1,64,0.01,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,32,2,1,64,0.0097,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,64,1,1,64,0.0093,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,1,128,1,128,0.0271,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,2,64,1,128,0.0176,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,4,32,1,128,0.0132,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,8,16,1,128,0.0133,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,16,8,1,128,0.0105,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,32,4,1,128,0.0096,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,64,2,1,128,0.0106,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,128,1,1,128,0.0105,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,1,256,1,256,0.0276,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,2,128,1,256,0.018,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,4,64,1,256,0.0132,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,8,32,1,256,0.0104,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,16,16,1,256,0.0138,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,32,8,1,256,0.0103,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,64,4,1,256,0.0103,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,128,2,1,256,0.0102,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,256,1,1,256,0.0094,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,2,256,1,512,0.0178,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,4,128,1,512,0.0135,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,8,64,1,512,0.0108,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,16,32,1,512,0.0112,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,32,16,1,512,0.0094,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,64,8,1,512,0.0098,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,128,4,1,512,0.0095,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,256,2,1,512,0.0101,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,4,256,1,1024,0.013,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,8,128,1,1024,0.0105,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,16,64,1,1024,0.011,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,32,32,1,1024,0.0119,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,64,16,1,1024,0.0111,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,128,8,1,1024,0.0103,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,256,256,4,1,1024,0.01,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,1,32,1,32,0.0845,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,2,16,1,32,0.0531,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,4,8,1,32,0.034,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,8,4,1,32,0.0245,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,16,2,1,32,0.0217,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,32,1,1,32,0.0212,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,1,64,1,64,0.0809,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,2,32,1,64,0.0471,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,4,16,1,64,0.0324,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,8,8,1,64,0.026,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,16,4,1,64,0.0152,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,32,2,1,64,0.0144,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,64,1,1,64,0.0211,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,1,128,1,128,0.0817,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,2,64,1,128,0.0483,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,4,32,1,128,0.0267,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,8,16,1,128,0.0231,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,16,8,1,128,0.0208,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,32,4,1,128,0.0139,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,64,2,1,128,0.0186,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,128,1,1,128,0.0172,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,1,256,1,256,0.0812,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,2,128,1,256,0.051,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,4,64,1,256,0.0266,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,8,32,1,256,0.0227,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,16,16,1,256,0.02,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,32,8,1,256,0.0182,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,64,4,1,256,0.0191,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,128,2,1,256,0.0209,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,256,1,1,256,0.0177,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,1,512,1,512,0.0773,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,2,256,1,512,0.0473,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,4,128,1,512,0.0261,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,8,64,1,512,0.0239,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,16,32,1,512,0.021,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,32,16,1,512,0.0149,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,64,8,1,512,0.0201,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,128,4,1,512,0.0192,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,256,2,1,512,0.0203,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,512,1,1,512,0.0183,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,2,512,1,1024,0.0471,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,4,256,1,1024,0.0327,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,8,128,1,1024,0.0239,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,16,64,1,1024,0.022,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,32,32,1,1024,0.0153,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,64,16,1,1024,0.0213,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,128,8,1,1024,0.0194,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,256,4,1,1024,0.0189,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,512,512,2,1,1024,0.0211,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,1,32,1,32,0.3444,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,2,16,1,32,0.178,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,4,8,1,32,0.0987,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,8,4,1,32,0.0704,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,16,2,1,32,0.058,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,32,1,1,32,0.0533,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,1,64,1,64,0.2957,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,2,32,1,64,0.1791,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,4,16,1,64,0.0989,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,8,8,1,64,0.0676,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,16,4,1,64,0.0549,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,32,2,1,64,0.0482,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,64,1,1,64,0.042,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,1,128,1,128,0.2958,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,2,64,1,128,0.1545,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,4,32,1,128,0.1054,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,8,16,1,128,0.0613,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,16,8,1,128,0.0525,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,32,4,1,128,0.0478,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,64,2,1,128,0.0499,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,128,1,1,128,0.0431,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,1,256,1,256,0.2961,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,2,128,1,256,0.1614,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,4,64,1,256,0.0962,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,8,32,1,256,0.0644,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,16,16,1,256,0.0527,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,32,8,1,256,0.0429,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,64,4,1,256,0.0442,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,128,2,1,256,0.0429,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,256,1,1,256,0.0432,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,1,512,1,512,0.2907,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,2,256,1,512,0.1605,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,4,128,1,512,0.095,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,8,64,1,512,0.0597,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,16,32,1,512,0.0529,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,32,16,1,512,0.0427,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,64,8,1,512,0.0507,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,128,4,1,512,0.0436,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,256,2,1,512,0.0441,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,512,1,1,512,0.0481,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,2,512,1,1024,0.1602,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,4,256,1,1024,0.0964,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,8,128,1,1024,0.0626,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,16,64,1,1024,0.0524,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,32,32,1,1024,0.0522,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,64,16,1,1024,0.0512,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,128,8,1,1024,0.0462,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,1024,256,4,1,1024,0.05,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,1,32,1,32,1.3189,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,2,16,1,32,0.6784,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,4,8,1,32,0.3669,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,8,4,1,32,0.2481,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,16,2,1,32,0.1861,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,32,1,1,32,0.1901,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,1,64,1,64,1.1457,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,2,32,1,64,0.6676,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,4,16,1,64,0.3655,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,8,8,1,64,0.2325,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,16,4,1,64,0.174,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,32,2,1,64,0.1619,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,64,1,1,64,0.1593,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,1,128,1,128,1.1347,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,2,64,1,128,0.6043,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,4,32,1,128,0.3748,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,8,16,1,128,0.2373,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,16,8,1,128,0.1719,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,32,4,1,128,0.1573,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,64,2,1,128,0.1621,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,128,1,1,128,0.1598,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,1,256,1,256,1.1336,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,2,128,1,256,0.5946,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,4,64,1,256,0.3423,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,8,32,1,256,0.2373,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,16,16,1,256,0.1745,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,32,8,1,256,0.1629,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,64,4,1,256,0.301,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,128,2,1,256,0.1603,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,256,1,1,256,0.1637,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,1,512,1,512,1.132,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,2,256,1,512,0.5993,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
Convolution2D_kernel,2048,4,128,1,512,0.347,geforce_gtx_1080_ti,2,8.3,0,9,1,83,10
