kernel,N,bx,by,bz,total_threads,exec_time,gpu,dimensionality,compute_intensity,has_shared_memory,global_reads,global_writes,arithmetic_ops,memory_ops,speedup_vs_avg,speedup_vs_worst,configs_tested,worst_exec_time,avg_exec_time
bicg_kernel2,256,2,16,1,32,0.0397,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,7.26943744752309,33.3904282115869,90,1.3256,0.28859666666666667
bicg_kernel2,512,8,4,1,32,0.0772,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,11.673745943175993,120.90673575129533,91,9.334,0.9012131868131867
bicg_kernel2,1024,8,4,1,32,0.1699,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,6.966904551697076,55.82107121836375,48,9.484,1.1836770833333332
bicg_kernel2,2048,16,2,1,32,0.3625,geforce_gtx_1080_ti,1,2.0,0,3,1,8,4,11.997218390804598,106.42344827586207,48,38.5785,4.348991666666667
convolution3D_kernel,32,32,2,1,64,0.0934,tesla_c2075,2,11.6875,0,15,1,187,16,1.3110023452635873,2.638115631691649,21,0.2464,0.12244761904761906
convolution3D_kernel,64,64,2,1,128,0.1003,geforce_gtx_1080_ti,2,11.6875,0,15,1,187,16,2.3304495116800132,13.029910269192422,93,1.3069,0.23374408602150532
convolution3D_kernel,128,32,4,1,128,0.2824,geforce_gtx_1080_ti,2,11.6875,0,15,1,187,16,3.770172029732937,30.468484419263458,117,8.6043,1.0646965811965814
convolution3D_kernel,256,32,4,1,128,1.0381,nvidia_geforce_rtx_2070_super,2,11.6875,0,15,1,187,16,3.3541753912765735,60.98169733166362,95,63.3051,3.481969473684211
convolution3D_kernel,512,32,2,1,64,4.7859,nvidia_geforce_rtx_2070_super,2,11.6875,0,15,1,187,16,2.966985929330675,10.863473954742055,98,51.9915,14.199697959183677
convolution3D_kernel,1024,128,1,1,128,55.2636,geforce_gtx_1080_ti,2,11.6875,0,15,1,187,16,2.0953975959462166,6.693311691601706,48,369.8965,115.79921458333332
corr_kernel,32,1,32,1,32,0.3863,tesla_c2075,1,3.857142857142857,0,4,3,27,7,1.8280389038866909,4.404348951592027,21,1.7014,0.7061714285714287
corr_kernel,64,1,32,1,32,0.5532,geforce_gtx_1080_ti,1,3.857142857142857,0,4,3,27,7,3.340460973884107,17.78289949385394,93,9.8375,1.847943010752688
corr_kernel,128,1,32,1,32,2.2191,geforce_gtx_1080_ti,1,3.857142857142857,0,4,3,27,7,3.329336656054854,11.04087242575819,113,24.5008,7.388130973451327
corr_kernel,256,1,32,1,32,8.9804,geforce_gtx_1080_ti,1,3.857142857142857,0,4,3,27,7,2.285799692169119,8.07137766691907,90,72.4842,20.527395555555554
corr_kernel,512,1,32,1,32,33.0279,nvidia_geforce_rtx_2070_super,1,3.857142857142857,0,4,3,27,7,3.05943237476837,10.898955125817869,98,359.9696,101.04662653061224
corr_kernel,1024,1,32,1,32,145.0639,nvidia_geforce_rtx_2070_super,1,3.857142857142857,0,4,3,27,7,3.960983760145242,16.971265766327807,96,2461.918,574.5957520833333
corr_kernel,2048,2,16,1,32,1058.6085,nvidia_geforce_rtx_2070_super,1,3.857142857142857,0,4,3,27,7,3.8709704905858335,17.345311793736776,96,18361.8945,4097.842264583333
covar_kernel,32,1,32,1,32,0.3991,tesla_c2075,1,3.6666666666666665,0,4,2,22,6,1.8442447888701958,4.487597093460285,21,1.791,0.7360380952380952
covar_kernel,64,1,64,1,64,0.6224,nvidia_geforce_rtx_2070_super,1,3.6666666666666665,0,4,2,22,6,9.42808967023247,90.51012210796915,93,56.3335,5.868043010752689
covar_kernel,128,1,32,1,32,2.478,nvidia_geforce_rtx_2070_super,1,3.6666666666666665,0,4,2,22,6,10.614178219660444,95.5595641646489,113,236.7966,26.301933628318583
covar_kernel,256,1,32,1,32,9.9299,nvidia_geforce_rtx_2070_super,1,3.6666666666666665,0,4,2,22,6,14.41053775857651,83.15685958569573,90,825.7393,143.0951988888889
covar_kernel,512,1,32,1,32,32.7006,nvidia_geforce_rtx_2070_super,1,3.6666666666666665,0,4,2,22,6,11.50234171975516,36.97482920802676,78,1209.0991,376.1334756410256
covar_kernel,1024,1,32,1,32,146.6308,nvidia_geforce_rtx_2070_super,1,3.6666666666666665,0,4,2,22,6,6.405394390852085,22.55533353156363,78,3307.3066,939.2281038461539
covar_kernel,2048,2,16,1,32,1069.6559,nvidia_geforce_rtx_2070_super,1,3.6666666666666665,0,4,2,22,6,2.7162862720212377,14.883906310431234,46,15920.6582,2905.4916369565217
fdtd_step1_kernel,32,32,4,1,128,1.9028,tesla_c2075,2,3.3333333333333335,0,4,2,20,6,1.1663388289938637,1.639110784107631,21,3.1189,2.2193095238095237
fdtd_step1_kernel,64,64,4,1,256,1.3364,geforce_gtx_1080_ti,2,3.3333333333333335,0,4,2,20,6,1.4836799518411028,4.118677042801556,89,5.5042,1.9827898876404497
fdtd_step1_kernel,128,128,8,1,1024,1.4102,geforce_gtx_1080_ti,2,3.3333333333333335,0,4,2,20,6,1.6805620276759123,9.518295277265638,35,13.4227,2.3699285714285714
fdtd_step1_kernel,256,32,4,1,128,1.6994,geforce_gtx_1080_ti,2,3.3333333333333335,0,4,2,20,6,1.512812365148484,3.9196186889490408,45,6.661,2.5708733333333336
fdtd_step1_kernel,512,256,1,1,256,2.9468,geforce_gtx_1080_ti,2,3.3333333333333335,0,4,2,20,6,2.156787161722297,6.819091896294285,49,20.0945,6.355620408163265
fdtd_step1_kernel,1024,64,2,1,128,18.1783,geforce_gtx_1080_ti,2,3.3333333333333335,0,4,2,20,6,1.651400754379306,4.622219899550563,48,84.0241,30.019658333333336
fdtd_step1_kernel,2048,32,16,1,512,70.3185,geforce_gtx_1080_ti,2,3.3333333333333335,0,4,2,20,6,1.6499906674630431,4.4573319965585165,48,313.4329,116.02486875
fdtd_step2_kernel,32,32,4,1,128,1.8952,tesla_c2075,2,4.5,0,3,1,18,4,1.1322941164646525,1.6315956099620093,21,3.0922,2.1459238095238096
fdtd_step2_kernel,64,64,4,1,256,1.3198,geforce_gtx_1080_ti,2,4.5,0,3,1,18,4,1.4984786595177,4.263070162145779,89,5.6264,1.9776921348314607
fdtd_step2_kernel,128,128,8,1,1024,1.4055,geforce_gtx_1080_ti,2,4.5,0,3,1,18,4,1.6824515932306758,9.477623621487016,35,13.3208,2.3646857142857147
fdtd_step2_kernel,256,32,4,1,128,1.7212,geforce_gtx_1080_ti,2,4.5,0,3,1,18,4,1.5117540733854933,3.4819893097838714,45,5.9932,2.602031111111111
fdtd_step2_kernel,512,128,1,1,128,4.4325,geforce_gtx_1080_ti,2,4.5,0,3,1,18,4,1.7194829471551734,4.6882571912013535,49,20.7807,7.621608163265306
fdtd_step2_kernel,1024,512,1,1,512,19.5528,geforce_gtx_1080_ti,2,4.5,0,3,1,18,4,1.5795932466620295,4.211632093613191,48,82.3492,30.885470833333333
fdtd_step2_kernel,2048,512,1,1,512,73.4533,geforce_gtx_1080_ti,2,4.5,0,3,1,18,4,1.607606267065832,4.443639700326602,48,326.4,118.08398541666668
fdtd_step3_kernel,32,32,4,1,128,2.0285,tesla_c2075,2,4.166666666666667,0,5,1,25,6,1.1674237355775439,1.847128420014789,21,3.7469,2.368119047619048
fdtd_step3_kernel,64,64,4,1,256,1.352,geforce_gtx_1080_ti,2,4.166666666666667,0,5,1,25,6,1.581276178445582,5.550221893491123,89,7.5039,2.137885393258427
fdtd_step3_kernel,128,128,8,1,1024,1.4678,geforce_gtx_1080_ti,2,4.166666666666667,0,5,1,25,6,1.8807914663344558,12.3204796293773,35,18.084,2.7606257142857142
fdtd_step3_kernel,256,32,4,1,128,1.9653,geforce_gtx_1080_ti,2,4.166666666666667,0,5,1,25,6,1.5287742329415357,3.847249783748028,45,7.561,3.0045
fdtd_step3_kernel,512,128,1,1,128,4.6947,geforce_gtx_1080_ti,2,4.166666666666667,0,5,1,25,6,1.9141937304028906,5.624640552111956,49,26.406,8.98656530612245
fdtd_step3_kernel,1024,512,1,1,512,25.7022,geforce_gtx_1080_ti,2,4.166666666666667,0,5,1,25,6,1.6467497594239662,4.254347876835446,48,109.3461,42.325091666666665
fdtd_step3_kernel,2048,512,1,1,512,97.2122,geforce_gtx_1080_ti,2,4.166666666666667,0,5,1,25,6,1.6881593822586052,4.3405909957803654,48,421.9584,164.10968749999998
gemm_kernel,32,32,1,1,32,0.0229,tesla_c2075,2,4.0,0,4,0,16,4,1.412975670617592,3.633187772925764,21,0.0832,0.032357142857142855
gemm_kernel,64,64,2,1,128,0.0206,geforce_gtx_1080_ti,2,4.0,0,4,0,16,4,1.854995302223614,14.577669902912621,93,0.3003,0.03821290322580645
gemm_kernel,128,16,16,1,256,0.0319,geforce_gtx_1080_ti,2,4.0,0,4,0,16,4,4.330921951611607,45.76802507836991,117,1.46,0.13815641025641026
gemm_kernel,256,16,4,1,64,0.1184,nvidia_geforce_rtx_2070_super,2,4.0,0,4,0,16,4,8.10364114114114,92.90709459459458,135,11.0002,0.9594711111111109
gemm_kernel,512,512,2,1,1024,0.7436,geforce_gtx_1080_ti,2,4.0,0,4,0,16,4,5.539755244755245,114.17993544916622,100,84.9042,4.119362000000001
gemm_kernel,1024,32,8,1,256,5.7614,geforce_gtx_1080_ti,2,4.0,0,4,0,16,4,4.204288815797086,17.901638490644633,96,103.1385,24.22258958333333
gemm_kernel,2048,32,8,1,256,46.3996,geforce_gtx_1080_ti,2,4.0,0,4,0,16,4,4.026892944659005,15.6329731290787,96,725.3637,186.846221875
gesummv_kernel,32,2,16,1,32,0.0332,tesla_c2075,1,1.5555555555555556,0,8,1,14,9,2.259323006310958,9.692771084337348,21,0.3218,0.07500952380952382
gesummv_kernel,64,8,8,1,64,0.0303,geforce_gtx_1080_ti,1,1.5555555555555556,0,8,1,14,9,3.7530607899499633,20.686468646864686,62,0.6268,0.1137177419354839
gesummv_kernel,128,4,8,1,32,0.0482,geforce_gtx_1080_ti,1,1.5555555555555556,0,8,1,14,9,5.760639429726566,25.873443983402492,78,1.2471,0.2776628205128205
gesummv_kernel,256,8,4,1,32,0.0858,geforce_gtx_1080_ti,1,1.5555555555555556,0,8,1,14,9,12.431740481740482,128.76107226107226,90,11.0477,1.0666433333333334
gesummv_kernel,512,8,4,1,32,0.1659,geforce_gtx_1080_ti,1,1.5555555555555556,0,8,1,14,9,31.796734544120337,518.2579867389994,92,85.979,5.275078260869564
gesummv_kernel,1024,8,4,1,32,0.3486,geforce_gtx_1080_ti,1,1.5555555555555556,0,8,1,14,9,20.980846003059856,240.1706827309237,48,83.7235,7.313922916666667
